id_client,nom,prenom,email,date_naissance,sexe,ville,telephone,date_inscription,canal_acquisition
C02925,Tazi,Imane,imane.tazi582@gmail.com,1958-11-11,F,Meknès,0627587923,2023-12-21,Marketplace
C00107,Belkadi,Nabil,nabil.belkadi830@gmail.com,1960-05-06,male,fès,0618304547,2023-05-24,Instagram
C02935,Alaoui,Karim,karim.alaoui97@outlook.com,1999-11-30,h,fes,0652444556,2022-05-15,Bouche à oreille
C02313,Kadiri,Najat,najat.kadiri699@gmail.com,1956-06-18,Femme,FES,0694453907,2023-11-30,Facebook
C01966,Tahiri,Amine,amine.tahiri662@hotmail.com,1969-04-03,H,agadir,0636452300,2021-12-22,SEO
C02610,Lahlou,Fatima,fatima.lahlou701@gmail.com,1968-08-12,F,FES,0742160967,2023-05-12,Instagram
C03241,Berrada,Khalid,khalid.berrada868@gmail.com,1968-06-04,m,rabat,0624358451,2020-03-21,Direct
C01412,Tazi,Soukaina,soukainatazigmail.com,1955-11-23,0,Oujda,0739468480,2020-05-09,Google Ads
C03609,Filali,Meryem,meryem.filali94@gmail.com,2004-06-07,female,TANGER,0683495888,2020-10-28,Facebook
C02053,Benali,Mehdi,mehdi.benali700@gmail.com,1992-08-15,m,KEN,0620570710,2022-04-02,Google Ads
C00598,Belkadi,Mehdi,mehdi.belkadi412@gmail.com,2004-08-16,M,MRK,0734227374,2020-02-17,Facebook
C01181,Moussaoui,Mustapha,mustapha.moussaoui341@outlook.com,1975-10-03,Homme,Tnja,0766001691,2024-06-09,Instagram
C03483,Benali,Khadija,khadija.benali705@hotmail.com,1975-05-29,0,AGA,0660609171,2024-02-17,Marketplace
C02546,Bennani,Fatima,fatima.bennani859@gmail.com,1960-11-24,F,TNG,0763806099,2024-04-06,Facebook
C02303,El Fassi,Karim,karim.elfassi437@outlook.com,1960-02-04,Homme,marrakech,0774277245,2020-02-20,Social Media
C02778,Idrissi,Nabil,nabil.idrissi395@gmail.com,1957-09-28,Homme,TNG,0726874157,2022-03-18,SEO
C03896,Ziani,Khalid,khalid.ziani838@gmail.com,1998-08-04,Homme,casablanca,0665262582,2021-08-07,Bouche à oreille
C00890,Bennani,Hajar,hajar.bennani24@gmail.com,1989-10-15,f,RBA,0760543809,2020-07-23,Bouche à oreille
C03246,Ghazi,Houda,houda.ghazi621@outlook.com,1999-10-13,0,SAL,0672525707,2023-10-15,Email
C01051,Tazi,Samir,samir.tazi555@gmail.com,1980-10-24,m,Oujda,0737930832,2020-09-13,Facebook
C02822,Ghazi,Aicha,aicha.ghazi762@gmail.com,1950-12-29,f,agadir,0732656807,2022-02-14,Direct
C02654,Lahlou,Sanaa,sanaa.lahlou391@gmail.com,1969-08-03,F,Meknès,0788553358,2020-07-01,Marketplace
C00157,Chraibi,Bilal,bilal.chraibi191@hotmail.com,1980-06-25,H,OUJDA,0633554528,2023-03-08,Marketplace
C01405,Moussaoui,Zakaria,zakaria.moussaoui484@gmail.com,1952-07-08,male,Agadir,0658866576,2023-08-05,SEO
C00403,Belkadi,Omar,omar.belkadi972@gmail.com,1990-04-16,1,CASA,0652773504,2024-09-15,Facebook
C02568,Ziani,Widad,widad.ziani941@yahoo.com,1990-08-25,F,Casablanca-Anfa,0646887920,2022-07-28,Social Media
